event_id,weeks_before,candidate_release_utc,status,reason
FOMC_2024_09_18,2,2024-09-04 18:00:00+00:00,selected,
FOMC_2024_09_18,3,2024-08-28 18:00:00+00:00,selected,
FOMC_2024_09_18,4,2024-08-21 18:00:00+00:00,selected,
FOMC_2024_09_18,5,2024-08-14 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,6,2024-08-07 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,7,2024-07-31 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,8,2024-07-24 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,9,2024-07-17 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,10,2024-07-10 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,11,2024-07-03 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,12,2024-06-26 18:00:00+00:00,valid_not_selected,
FOMC_2024_11_07,1,2024-10-31 18:00:00+00:00,selected,
FOMC_2024_11_07,2,2024-10-24 18:00:00+00:00,selected,
FOMC_2024_11_07,3,2024-10-17 18:00:00+00:00,selected,
FOMC_2024_11_07,4,2024-10-10 18:00:00+00:00,selected,
FOMC_2024_11_07,5,2024-10-03 18:00:00+00:00,valid_not_selected,
FOMC_2024_11_07,6,2024-09-26 18:00:00+00:00,valid_not_selected,
FOMC_2024_11_07,7,2024-09-19 18:00:00+00:00,rejected,window_contains_fomc_release
FOMC_2024_11_07,8,2024-09-12 18:00:00+00:00,valid_not_selected,
FOMC_2024_11_07,9,2024-09-05 18:00:00+00:00,valid_not_selected,
FOMC_2024_11_07,10,2024-08-29 18:00:00+00:00,valid_not_selected,
FOMC_2024_11_07,11,2024-08-22 18:00:00+00:00,valid_not_selected,
FOMC_2024_11_07,12,2024-08-15 18:00:00+00:00,valid_not_selected,
FOMC_2024_12_18,1,2024-12-11 19:00:00+00:00,selected,
FOMC_2024_12_18,2,2024-12-04 19:00:00+00:00,selected,
FOMC_2024_12_18,3,2024-11-27 19:00:00+00:00,selected,
FOMC_2024_12_18,4,2024-11-20 19:00:00+00:00,selected,
FOMC_2024_12_18,5,2024-11-13 19:00:00+00:00,valid_not_selected,
FOMC_2024_12_18,6,2024-11-06 19:00:00+00:00,valid_not_selected,
FOMC_2024_12_18,7,2024-10-30 18:00:00+00:00,valid_not_selected,
FOMC_2024_12_18,8,2024-10-23 18:00:00+00:00,valid_not_selected,
FOMC_2024_12_18,9,2024-10-16 18:00:00+00:00,valid_not_selected,
FOMC_2024_12_18,10,2024-10-09 18:00:00+00:00,valid_not_selected,
FOMC_2024_12_18,11,2024-10-02 18:00:00+00:00,valid_not_selected,
FOMC_2024_12_18,12,2024-09-25 18:00:00+00:00,valid_not_selected,
FOMC_2025_01_29,1,2025-01-22 19:00:00+00:00,selected,
FOMC_2025_01_29,2,2025-01-15 19:00:00+00:00,selected,
FOMC_2025_01_29,3,2025-01-08 19:00:00+00:00,selected,
FOMC_2025_01_29,4,2025-01-01 19:00:00+00:00,rejected,stale boundary price by 0 days 18:45:00
FOMC_2025_01_29,5,2024-12-25 19:00:00+00:00,rejected,stale boundary price by 0 days 21:45:00
FOMC_2025_01_29,6,2024-12-18 19:00:00+00:00,selected,
FOMC_2025_01_29,7,2024-12-11 19:00:00+00:00,valid_not_selected,
FOMC_2025_01_29,8,2024-12-04 19:00:00+00:00,valid_not_selected,
