Date,date_time,year,regime,scheduled,rate_contracts,rate_surprise,sp_future,product,valid,classification
2013-01-30,2013-01-30 14:15:00,2013,2008-2019,True,10,0.0005000000000009599,-0.0009985022466300541,-4.992511233159855e-07,True,conventional
2013-03-20,2013-03-20 14:00:00,2013,2008-2019,True,10,0.0024999999999977,0.001451612903225806,3.629032258061176e-06,True,information
2013-05-01,2013-05-01 14:00:00,2013,2008-2019,True,10,-0.00199999999999958,0.002689447872172125,-5.3788957443431204e-06,True,conventional
2013-06-19,2013-06-19 14:00:00,2013,2008-2019,True,10,0.00230000000000102,-0.000909228671010759,-2.091225943325673e-06,True,conventional
2013-07-31,2013-07-31 14:00:00,2013,2008-2019,True,10,-0.00199999999999817,-0.00059347181008902,1.186943620176954e-06,True,information
2013-09-18,2013-09-18 14:00:00,2013,2008-2019,True,10,-0.01000000000000224,0.01057113492879166,-0.00010571134928794026,True,conventional
2013-10-30,2013-10-30 14:00:00,2013,2008-2019,True,10,0.00050000000000096,-0.003264726756564939,-1.6323633782856036e-06,True,conventional
2013-12-18,2013-12-18 14:00:00,2013,2008-2019,True,10,0.0005000000000023799,0.007743207095593411,3.871603547815134e-06,True,information
2014-01-29,2014-01-29 14:00:00,2014,2008-2019,True,10,0.00074999999999932,-0.003945885005636978,-2.9594137542250504e-06,True,conventional
2014-03-19,2014-03-19 14:00:00,2014,2008-2019,True,10,0.0069999999999993,-0.0022696929238985313,-1.5887850467288132e-05,True,conventional
2014-04-30,2014-04-30 14:00:00,2014,2008-2019,True,10,0.00174999999999982,0.000133422281521014,2.334889926617505e-07,True,information
2014-06-18,2014-06-18 14:00:00,2014,2008-2019,True,10,0.0044999999999987194,0.003219989696032972,1.4489953632144251e-05,True,information
2014-07-30,2014-07-30 14:00:00,2014,2008-2019,True,10,-0.0034999999999982302,0.004079031230082855,-1.4276609305282774e-05,True,conventional
2014-09-17,2014-09-17 14:00:00,2014,2008-2019,True,10,0.00650000000000259,0.0025009378516943847,1.6256096036019975e-05,True,information
2014-10-29,2014-10-29 14:00:00,2014,2008-2019,True,10,0.01050000000000181,-0.003167764825139381,-3.3261530663969234e-05,True,conventional
2014-12-17,2014-12-17 14:00:00,2014,2008-2019,True,10,-0.02875000000000223,0.007525398218989088,-0.00021635519879595306,True,conventional
2015-01-28,2015-01-28 14:00:00,2015,2008-2019,True,10,-0.004000000000000599,-0.002590673575129533,1.0362694300519685e-05,True,information
2015-03-18,2015-03-18 14:00:00,2015,2008-2019,True,10,-0.04550000000000119,0.01454369167373652,-0.000661737971155029,True,conventional
2015-04-29,2015-04-29 14:00:00,2015,2008-2019,True,10,-0.0010000000000004899,0.000833631058711444,-8.336310587118523e-07,True,conventional
2015-06-17,2015-06-17 14:00:00,2015,2008-2019,True,10,-0.02899999999999774,0.002869783570489059,-8.322372354417623e-05,True,conventional
2015-07-29,2015-07-29 14:00:00,2015,2008-2019,True,10,-0.00725000000000047,0.0013121794107121552,-9.51330072766374e-06,True,conventional
2015-09-17,2015-09-17 14:00:00,2015,2008-2019,True,10,-0.05250000000000336,0.001374484568286892,-7.216043983506645e-05,True,conventional
2015-10-28,2015-10-28 14:00:00,2015,2008-2019,True,10,0.022999999999997543,-0.007111861137897782,-0.00016357280617163152,True,conventional
2015-12-16,2015-12-16 14:00:00,2015,2008-2019,True,10,0.01550000000000007,0.001339666301303129,2.0764827670198592e-05,True,information
2016-01-27,2016-01-27 14:00:00,2016,2008-2019,True,10,-0.01875000000000421,-0.003683241252302026,6.906077348067849e-05,True,information
2016-03-16,2016-03-16 14:00:00,2016,2008-2019,True,10,-0.059250000000004334,0.0031067478563439788,-0.0001840748104883942,True,conventional
2016-04-27,2016-04-27 14:00:00,2016,2008-2019,True,10,0.007499999999998839,0.0022798176145908317,1.7098632109428593e-05,True,information
2016-06-15,2016-06-15 14:00:00,2016,2008-2019,True,10,-0.032000000000000695,-0.00048024972985952604,1.5367991355505167e-05,True,information
2016-07-27,2016-07-27 14:00:00,2016,2008-2019,True,10,0.00024999999999975985,0.002084539664157498,5.211349160388739e-07,True,information
2016-09-21,2016-09-21 14:00:00,2016,2008-2019,True,10,-0.022749999999996308,0.0029270577215782688,-6.65905631658948e-05,True,conventional
2016-11-02,2016-11-02 14:00:00,2016,2008-2019,True,10,0.00200000000000242,0.00047755491881566303,9.551098376324818e-07,True,information
2016-12-14,2016-12-14 14:00:00,2016,2008-2019,True,10,0.02050000000000123,-0.002641135688345988,-5.4143281611096e-05,True,conventional
2017-02-01,2017-02-01 14:00:00,2017,2008-2019,True,10,-0.01874999999999994,0.0014296711756296048,-2.6806334543055005e-05,True,conventional
2017-03-15,2017-03-15 14:00:00,2017,2008-2019,True,10,-0.031000000000000194,0.0029476787030213707,-9.137803979366307e-05,True,conventional
2017-05-03,2017-05-03 14:00:00,2017,2008-2019,True,10,0.0107499999999987,0.000315159155373463,3.387960920264317e-06,True,information
2017-06-14,2017-06-14 14:00:00,2017,2008-2019,True,10,0.01649999999999916,-0.000410088168956325,-6.766454787779019e-06,True,conventional
2017-07-26,2017-07-26 14:00:00,2017,2008-2019,True,10,-0.0100000000000008,0.000100989699050696,-1.0098969905070406e-06,True,conventional
2017-09-20,2017-09-20 14:00:00,2017,2008-2019,True,10,0.028500000000002468,-0.0029952076677316293,-8.536341853035882e-05,True,conventional
2017-11-01,2017-11-01 14:00:00,2017,2008-2019,True,10,-0.00024999999999977005,0.0008740409828105269,-2.1851024570243074e-07,True,conventional
2017-12-13,2017-12-13 14:00:00,2017,2008-2019,True,10,-0.00350000000000106,0.0007499062617172849,-2.624671916011292e-06,True,conventional
2018-01-31,2018-01-31 14:00:00,2018,2008-2019,True,10,0.0019999999999983998,-0.0015901060070671368,-3.180212014131729e-06,True,conventional
2018-03-21,2018-03-21 14:00:00,2018,2008-2019,True,10,-0.00499999999999827,0.003572737266397948,-1.7863686331983557e-05,True,conventional
2018-05-02,2018-05-02 14:00:00,2018,2008-2019,True,10,-0.005749999999999001,0.001603924898575337,-9.222568166806586e-06,True,conventional
2018-06-13,2018-06-13 14:00:00,2018,2008-2019,True,10,0.007999999999996971,-0.00161449457350435,-1.291595658802991e-05,True,conventional
2018-08-01,2018-08-01 14:00:00,2018,2008-2019,True,10,-0.00274999999999889,0.00026683269589967,-7.337899137237964e-07,True,conventional
