matched_event_id,asset,control_release_utc,weeks_before,jump_bps
FOMC_2024_01_31,NZDUSD,2024-01-24 19:00:00+00:00,1,0.3269790406726467
FOMC_2024_01_31,NZDUSD,2024-01-17 19:00:00+00:00,2,8.68759940882655
FOMC_2024_01_31,NZDUSD,2024-01-10 19:00:00+00:00,3,1.2844596456506758
FOMC_2024_01_31,NZDUSD,2024-01-03 19:00:00+00:00,4,14.278955409834746
FOMC_2024_01_31,USDJPY,2024-01-24 19:00:00+00:00,1,0.8815143065297849
FOMC_2024_01_31,USDJPY,2024-01-17 19:00:00+00:00,2,6.001328564042412
FOMC_2024_01_31,USDJPY,2024-01-10 19:00:00+00:00,3,0.06866316255733614
FOMC_2024_01_31,USDJPY,2024-01-03 19:00:00+00:00,4,15.598237219678781
FOMC_2024_01_31,USDCHF,2024-01-24 19:00:00+00:00,1,2.5485971269301477
FOMC_2024_01_31,USDCHF,2024-01-17 19:00:00+00:00,2,2.079458424101807
FOMC_2024_01_31,USDCHF,2024-01-10 19:00:00+00:00,3,3.4056145995504687
FOMC_2024_01_31,USDCHF,2024-01-03 19:00:00+00:00,4,16.43231431517567
FOMC_2024_01_31,USDCAD,2024-01-24 19:00:00+00:00,1,4.58864983331736
FOMC_2024_01_31,USDCAD,2024-01-17 19:00:00+00:00,2,3.6969397154441457
FOMC_2024_01_31,USDCAD,2024-01-10 19:00:00+00:00,3,2.5410111866486247
FOMC_2024_01_31,USDCAD,2024-01-03 19:00:00+00:00,4,7.183424557441425
FOMC_2024_01_31,EURJPY,2024-01-24 19:00:00+00:00,1,0.7470724103404466
FOMC_2024_01_31,EURJPY,2024-01-17 19:00:00+00:00,2,1.861608062416212
FOMC_2024_01_31,EURJPY,2024-01-10 19:00:00+00:00,3,0.2503912363204829
FOMC_2024_01_31,EURJPY,2024-01-03 19:00:00+00:00,4,6.580061374488285
FOMC_2024_01_31,XAUUSD,2024-01-24 19:00:00+00:00,1,1.9356183616614322
FOMC_2024_01_31,XAUUSD,2024-01-17 19:00:00+00:00,2,10.373781200680712
FOMC_2024_01_31,XAUUSD,2024-01-10 19:00:00+00:00,3,5.2415178855332565
FOMC_2024_01_31,XAUUSD,2024-01-03 19:00:00+00:00,4,18.66989043632859
FOMC_2024_01_31,XAGUSD,2024-01-24 19:00:00+00:00,1,0.8805917582309194
FOMC_2024_01_31,XAGUSD,2024-01-17 19:00:00+00:00,2,16.409077456201402
FOMC_2024_01_31,XAGUSD,2024-01-10 19:00:00+00:00,3,3.0559011872076765
FOMC_2024_01_31,XAGUSD,2024-01-03 19:00:00+00:00,4,24.416842302957924
FOMC_2024_01_31,SPXUSD,2024-01-24 19:00:00+00:00,1,2.4694073394463527
FOMC_2024_01_31,SPXUSD,2024-01-17 19:00:00+00:00,2,5.31381431584415
FOMC_2024_01_31,SPXUSD,2024-01-10 19:00:00+00:00,3,1.5728952688383266
FOMC_2024_01_31,SPXUSD,2024-01-03 19:00:00+00:00,4,22.461499826120594
FOMC_2024_01_31,NSXUSD,2024-01-24 19:00:00+00:00,1,3.7402489140081747
FOMC_2024_01_31,NSXUSD,2024-01-17 19:00:00+00:00,2,5.2391528276114165
FOMC_2024_01_31,NSXUSD,2024-01-10 19:00:00+00:00,3,4.172466206781574
FOMC_2024_01_31,NSXUSD,2024-01-03 19:00:00+00:00,4,28.033373229343585
FOMC_2024_03_20,EURUSD,2024-03-13 18:00:00+00:00,1,1.9165043020300603
FOMC_2024_03_20,EURUSD,2024-03-06 19:00:00+00:00,2,3.7612781449891637
FOMC_2024_03_20,EURUSD,2024-02-28 19:00:00+00:00,3,0.8307296118336602
FOMC_2024_03_20,EURUSD,2024-02-21 19:00:00+00:00,4,5.086587703023044
FOMC_2024_03_20,GBPUSD,2024-03-13 18:00:00+00:00,1,2.264678444865137
FOMC_2024_03_20,GBPUSD,2024-03-06 19:00:00+00:00,2,3.138731978059238
FOMC_2024_03_20,GBPUSD,2024-02-28 19:00:00+00:00,3,0.15803780264602224
FOMC_2024_03_20,GBPUSD,2024-02-21 19:00:00+00:00,4,6.414241419139624
FOMC_2024_03_20,AUDUSD,2024-03-13 18:00:00+00:00,1,3.4685829678383073
FOMC_2024_03_20,AUDUSD,2024-03-06 19:00:00+00:00,2,4.110308559357994
FOMC_2024_03_20,AUDUSD,2024-02-28 19:00:00+00:00,3,2.0017708039277915
FOMC_2024_03_20,AUDUSD,2024-02-21 19:00:00+00:00,4,9.47461790366979
FOMC_2024_03_20,NZDUSD,2024-03-13 18:00:00+00:00,1,0.9731728687075993
FOMC_2024_03_20,NZDUSD,2024-03-06 19:00:00+00:00,2,4.566210124999836
FOMC_2024_03_20,NZDUSD,2024-02-28 19:00:00+00:00,3,0.3282616902499271
FOMC_2024_03_20,NZDUSD,2024-02-21 19:00:00+00:00,4,10.044553294904892
FOMC_2024_03_20,USDJPY,2024-03-13 18:00:00+00:00,1,1.4225377419857315
FOMC_2024_03_20,USDJPY,2024-03-06 19:00:00+00:00,2,6.095621054523554
FOMC_2024_03_20,USDJPY,2024-02-28 19:00:00+00:00,3,1.3933259708652301
FOMC_2024_03_20,USDJPY,2024-02-21 19:00:00+00:00,4,2.9948189855785645
FOMC_2024_03_20,USDCHF,2024-03-13 18:00:00+00:00,1,0.3420070111772514
FOMC_2024_03_20,USDCHF,2024-03-06 19:00:00+00:00,2,4.082095532362605
FOMC_2024_03_20,USDCHF,2024-02-28 19:00:00+00:00,3,1.3648771631740357
FOMC_2024_03_20,USDCHF,2024-02-21 19:00:00+00:00,4,8.638425615894604
FOMC_2024_03_20,USDCAD,2024-03-13 18:00:00+00:00,1,0.5199725158564599
FOMC_2024_03_20,USDCAD,2024-03-06 19:00:00+00:00,2,0.7400226450301058
FOMC_2024_03_20,USDCAD,2024-02-28 19:00:00+00:00,3,0.6630982161390483
FOMC_2024_03_20,USDCAD,2024-02-21 19:00:00+00:00,4,3.9251264135432393
FOMC_2024_03_20,EURJPY,2024-03-13 18:00:00+00:00,1,3.0910181441577707
FOMC_2024_03_20,EURJPY,2024-03-06 19:00:00+00:00,2,2.335142054844868
FOMC_2024_03_20,EURJPY,2024-02-28 19:00:00+00:00,3,0.7349023501812411
FOMC_2024_03_20,EURJPY,2024-02-21 19:00:00+00:00,4,2.1539720866958114
FOMC_2024_03_20,XAUUSD,2024-03-13 18:00:00+00:00,1,1.6092102031074638
FOMC_2024_03_20,XAUUSD,2024-03-06 19:00:00+00:00,2,24.513871228027664
