event_id,asset,weeks_before,control_release_utc,status,reason
FOMC_2023_03_22,EURUSD,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,GBPUSD,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,GBPUSD,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,GBPUSD,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,GBPUSD,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,GBPUSD,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,GBPUSD,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,GBPUSD,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,GBPUSD,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,GBPUSD,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,GBPUSD,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,GBPUSD,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,GBPUSD,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,GBPUSD,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,AUDUSD,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,AUDUSD,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,AUDUSD,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,AUDUSD,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,AUDUSD,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,AUDUSD,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,AUDUSD,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,AUDUSD,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,AUDUSD,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,AUDUSD,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,AUDUSD,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,AUDUSD,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,AUDUSD,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,NZDUSD,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,NZDUSD,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,NZDUSD,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,NZDUSD,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,NZDUSD,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,NZDUSD,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,NZDUSD,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,NZDUSD,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,NZDUSD,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,NZDUSD,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,NZDUSD,11,2023-01-04 19:00:00+00:00,valid_not_selected,
